emc2@relativity.com,Einstein,Albert,administrator,,,
iwuvteddies@bearsrus.com,Roosevelt,Theodore,park manager,Yellowstone National Park,White House Rose Garden,
mickeymouse@disney.com,Mouse,Mickey,volunteer,,,
reindeermaster@thenorthpole.com,Claus,Santa,volunteer,,,
babyitscold@thenorthpole.com,Claus,Missus,volunteer,,,
sharpneedle@winterfell.com,Stark,Arya,volunteer,,,
onering@theshire.com,Baggins,Frodo,volunteer,,,
halfbloodprince@hogwarts.edu,Snape,Severus,administrator,,,
minniemouse@disney.com,Mouse,Minnie,park manager,Disneyland Resort,Disney World Resort,Tokyo Disney Resort
heisenberg@saymyname.com,White,Walter,administrator,,,
headswillroll@winterfell.com,Stark,Eddard,park manager,The Great Keep,The Godswood,The Crypts
bettercallsaul@earthlink.com,McGill,James,park manager,St Johns Cathedral,Skate Park,Kettleman's Camping Ground
dragonqueen@hotmail.com,Targaryen,Daenerys,administrator,,,
Leslie.Knope@PawneeIndiana.gov,Knope,Leslie,administrator,,,
anonymous@nowhere.com,Swanson,Ron,park manager,The Pit,Pawnee National Park,World's Smallest Park
shaggydoo@clue.edu,Rogers,Shaggy,volunteer,,,
snowy@apple.com,White,Snow,volunteer,,,
ironman@starkindustries.com,Stark,Tony,administrator,,,
winteriscoming@winterfell.com,Stark,Robb,volunteer,,,
sailormoon@moonkingdom.com,Tsukino,Serena,volunteer,,,
walderfrey@gmail.com,Frey,Walder,park manager,Hollow Hill,Whispering Wood,
aragorn@nosecondbreakfast.com,Elessar,Aragorn,park manager,Hobbiton,Mordor,
