emc2@relativity.com,Einstein,Albert,administrator
iwuvteddies@bearsrus.com,Roosevelt,Theodore,park manager
mickeymouse@disney.com,Mouse,Mickey,volunteer
reindeermaster@thenorthpole.com,Claus,Santa,volunteer
babyitscold@thenorthpole.com,Claus,Missus,volunteer
sharpneedle@winterfell.com,Stark,Arya,volunteer
onering@theshire.com,Baggins,Frodo,volunteer
halfbloodprince@hogwarts.edu,Snape,Severus,administrator
minniemouse@disney.com,Mouse,Minnie,park manager
heisenberg@saymyname.com,White,Walter,administrator
headswillroll@winterfell.com,Stark,Eddard,park manager
bettercallsaul@earthlink.com,McGill,James,park manager
dragonqueen@hotmail.com,Targaryen,Daenerys,adminstrator
Leslie.Knope@PawneeIndiana.gov,Knope,Leslie,adminstrator
anonymous@nowhere.com,Swanswon,Ron,park manager
shaggydoo@clue.edu,Rogers,Shaggy,volunteer
snowy@apple.com,White,Snow,volunteer
ironman@starkindustries.com,Stark,Tony,administrator
winteriscoming@winterfell.com,Stark,Robb,volunteer
sailormoon@moonkingdom.com,Tsukino,Serena,volunteer
