emc2@relativity.com,Einstein,Albert,administrator
iwuvteddies@bearsrus.com,Roosevelt,Theodore,park manager
mickeymouse@disney.com,Mouse,Mickey,volunteer
reindeermaster@thenorthpole.com,Claus,Santa,volunteer
babyitscold@thenorthpole.com,Claus,Missus,volunteer
sharpneedle@winterfell.com,Stark,Arya,volunteer
onering@theshire.com,Baggins,Frodo,volunteer
halfbloodprince@hogwarts.edu,Snape,Severus,administrator
minniemouse@disney.com,Mouse,Minnie,park manager
heisenberg@saymyname.com,White,Walter,administrator
headswillroll@winterfell.com,Stark,Eddard,park manager
bettercallsaul@earthlink.com,McGill,James,park manager
dragonqueen@hotmail.com,Targaryen,Daenerys,administrator
Leslie.Knope@PawneeIndiana.gov,Knope,Leslie,administrator
anonymous@nowhere.com,Swanson,Ron,park manager
shaggydoo@clue.edu,Rogers,Shaggy,volunteer
snowy@apple.com,White,Snow,volunteer
ironman@starkindustries.com,Stark,Tony,administrator
winteriscoming@winterfell.com,Stark,Robb,volunteer
sailormoon@moonkingdom.com,Tsukino,Serena,volunteer
walderfrey@gmail.com,Frey,Walder,park manager
aragorn@nosecondbreakfast.com,Elessar,Aragorn,park manager
thor@avenger.com,Odinson,Thor,volunteer
giantman@avenger.com,Pym,Henry,volunteer
hulkhulk@avenger.com,Banner,Robert,volunteer
spiderman@avengers329.com,Parker,Peter,volunteer
elenagilbert@tvd.com,Gilbert,Elena,volunteer
stefansalvatore@tvd.com,Salvatore,Stefan,volunteer
damonsalvatore@tvd.com,Salvatore,Damon,volunteer
